OBJECTID,Name,Shape_Area,Name_1,PNT_COUNT,PERCENTAGE
1, Smith Lake Wetland,0.151792012953479, Smith Lake Wetland,1,100.000000000000000
2, Smith Lake Wetland,0.151792012953479,Ashley Creek Riparian Restoration,1,100.000000000000000
3, Smith Lake Wetland,0.151792012953479,Brenneman Slough,1,100.000000000000000
4, Smith Lake Wetland,0.151792012953479,Flathead Lake Shoreline,1,100.000000000000000
5, Smith Lake Wetland,0.151792012953479,Flathead River Wetland,1,100.000000000000000
6, Smith Lake Wetland,0.151792012953479,Foyes bend fisheries conservation area,1,100.000000000000000
7, Smith Lake Wetland,0.151792012953479,North Shore Wetland,1,100.000000000000000
8, Smith Lake Wetland,0.151792012953479,Owen Sowerwine Natural Area,1,100.000000000000000
9, Smith Lake Wetland,0.151792012953479,West Valley Wetland,1,100.000000000000000
10,Ashley Creek Riparian Restoration,0.151795953624403, Smith Lake Wetland,1,100.000000000000000
11,Ashley Creek Riparian Restoration,0.151795953624403,Ashley Creek Riparian Restoration,1,100.000000000000000
12,Ashley Creek Riparian Restoration,0.151795953624403,Brenneman Slough,1,100.000000000000000
13,Ashley Creek Riparian Restoration,0.151795953624403,Diamond B Riparian Restoration,1,100.000000000000000
14,Ashley Creek Riparian Restoration,0.151795953624403,Flathead Lake Shoreline,1,100.000000000000000
15,Ashley Creek Riparian Restoration,0.151795953624403,Flathead River Wetland,1,100.000000000000000
16,Ashley Creek Riparian Restoration,0.151795953624403,Foyes bend fisheries conservation area,1,100.000000000000000
17,Ashley Creek Riparian Restoration,0.151795953624403,North shore Flathead lake wma,1,100.000000000000000
18,Ashley Creek Riparian Restoration,0.151795953624403,North Shore Wetland,1,100.000000000000000
19,Ashley Creek Riparian Restoration,0.151795953624403,Owen Sowerwine Natural Area,1,100.000000000000000
20,Ashley Creek Riparian Restoration,0.151795953624403,West Valley Wetland,1,100.000000000000000
21,Baker Lake,0.146838991479905,Baker Lake,1,100.000000000000000
22,Below Dahl Lake,0.151921103846074,Below Dahl Lake,1,100.000000000000000
23,Below Dahl Lake,0.151921103846074,Lower Moose Pond,1,100.000000000000000
24,Below Dahl Lake,0.151921103846074,Upper Moose Pond,1,100.000000000000000
25,Below Dahl Lake,0.151921103846074,West Office Meadow,1,100.000000000000000
26,Blackwell Flats,0.152025505575837,Blackwell Flats,1,100.000000000000000
27,Blackwell Flats,0.152025505575837,Dunn Creek,1,100.000000000000000
28,Blackwell Flats,0.152025505575837,Kootenai River,1,100.000000000000000
29,Blackwell Flats,0.152025505575837,Schrieber Lake Mitigation site,1,100.000000000000000
30,Blackwell Flats,0.152025505575837,Schrieber Meadows Mitigation site,1,100.000000000000000
31,Brenneman Slough,0.151982779334752, Smith Lake Wetland,1,100.000000000000000
32,Brenneman Slough,0.151982779334752,Ashley Creek Riparian Restoration,1,100.000000000000000
33,Brenneman Slough,0.151982779334752,Brenneman Slough,1,100.000000000000000
34,Brenneman Slough,0.151982779334752,Diamond B Riparian Restoration,1,100.000000000000000
35,Brenneman Slough,0.151982779334752,Flathead Lake Shoreline,1,100.000000000000000
36,Brenneman Slough,0.151982779334752,Flathead River Wetland,1,100.000000000000000
37,Brenneman Slough,0.151982779334752,Foyes bend fisheries conservation area,1,100.000000000000000
38,Brenneman Slough,0.151982779334752,North shore Flathead lake wma,1,100.000000000000000
39,Brenneman Slough,0.151982779334752,North Shore Wetland,1,100.000000000000000
40,Brenneman Slough,0.151982779334752,Owen Sowerwine Natural Area,1,100.000000000000000
41,Brenneman Slough,0.151982779334752,West Valley Wetland,1,100.000000000000000
42,Bridger Creek on Mast Ranch,0.142638643417391,Bridger Creek on Mast Ranch,1,100.000000000000000
43,California Creek,0.145945220087134,California Creek,1,100.000000000000000
44,California Creek,0.145945220087134,French Gulch,1,100.000000000000000
45,Canyon Ferry WMA,0.146883520011208,Canyon Ferry WMA,1,100.000000000000000
46,Cedar,0.148981861804646,Cedar,1,100.000000000000000
47,CSKT Wetland,0.149689071675898,CSKT Wetland,1,100.000000000000000
48,CSKT Wetland,0.149689071675898,MDT US 93 Peterson Wetland Mitigation Site,1,100.000000000000000
49,CSKT Wetland,0.149689071675898,Post Creek,1,100.000000000000000
50,Diamond B Riparian Restoration,0.151867411661657,Ashley Creek Riparian Restoration,1,100.000000000000000
51,Diamond B Riparian Restoration,0.151867411661657,Brenneman Slough,1,100.000000000000000
52,Diamond B Riparian Restoration,0.151867411661657,Diamond B Riparian Restoration,1,100.000000000000000
53,Diamond B Riparian Restoration,0.151867411661657,Flathead Lake Shoreline,1,100.000000000000000
54,Diamond B Riparian Restoration,0.151867411661657,Flathead River Wetland,1,100.000000000000000
55,Diamond B Riparian Restoration,0.151867411661657,Foyes bend fisheries conservation area,1,100.000000000000000
56,Diamond B Riparian Restoration,0.151867411661657,North shore Flathead lake wma,1,100.000000000000000
57,Diamond B Riparian Restoration,0.151867411661657,North Shore Wetland,1,100.000000000000000
58,Diamond B Riparian Restoration,0.151867411661657,Owen Sowerwine Natural Area,1,100.000000000000000
